n,m,t,mean_loss,se_loss
400,10000,1,0.22896203100681306,0.0007433110604323519
400,10000,2,0.04996522292494774,0.00028678253298602415
400,10000,3,0.013947996869683265,9.496648578255059e-05
400,10000,4,0.004908071644604206,5.7595645583792323e-05
400,10000,5,0.0023035458754748104,3.146513665967664e-05
400,10000,6,0.001535897608846426,2.8755643053822463e-05
400,10000,7,0.0012789852451533079,2.408783663236727e-05
400,10000,8,0.0012030236888676883,2.4268970133214605e-05
400,10000,9,0.0011737858643755318,2.3241924929180826e-05
400,10000,10,0.0011668133782222867,2.3451866233009645e-05
400,10000,11,0.0011632497189566493,2.3177047612304993e-05
400,10000,12,0.0011630964232608675,2.3275915518426874e-05
400,10000,13,0.001162660517729819,2.3190905724442183e-05
400,10000,14,0.0011629025684669614,2.3231433634520746e-05
400,10000,15,0.0011628556298092009,2.320279285116061e-05
400,10000,16,0.0011629826622083783,2.3218570791533048e-05
400,10000,17,0.0011629811488091946,2.3208672082151964e-05
400,10000,18,0.0011630322318524123,2.321454586745912e-05
400,10000,19,0.0011630344903096556,2.3211159736597273e-05
400,10000,20,0.0011630532098934054,2.3213177020086052e-05
400,10000,21,0.0011630550026893616,2.3212160817442534e-05
600,10000,0,2.0024696826934814,0.0054915130547493664
600,10000,1,0.18830175697803497,0.008019523566844301
600,10000,2,0.057268285378813746,0.008276607829625358
600,10000,3,0.038575911428779364,0.008375948945344668
600,10000,4,0.03607444050721824,0.008592660577311857
600,10000,5,0.036149007431231436,0.008782740471923713
600,10000,6,0.03673595474101603,0.008959896826360747
600,10000,7,0.03724895133636892,0.009094145443942112
600,10000,8,0.03766522877849639,0.009197619017212104
600,10000,9,0.037964308611117305,0.009271865697430203
600,10000,10,0.03818200255045667,0.009325653837071853
600,10000,11,0.03833415424451232,0.009363469999642765
600,10000,12,0.03844174139667302,0.009390231028548201
600,10000,13,0.03851647306000814,0.009408911854683302
600,10000,14,0.03856879926752299,0.009422014953408142
600,10000,15,0.03860513428226113,0.009431148759962616
600,10000,16,0.03863050336949527,0.009437538561420565
600,10000,17,0.038648146076593545,0.009441996204390153
600,10000,18,0.03866047125775367,0.009445116541622991
600,10000,19,0.03866906631737947,0.009447298576817139
600,10000,20,0.03867507926188409,0.009448828008789772
600,10000,21,0.038679280632641165,0.009449899406456736
800,10000,0,1.9970957040786743,0.0042247215071151804
800,10000,1,0.14337671995162965,0.009347773275050911
800,10000,2,0.03868489563465118,0.009771342151987186
800,10000,3,0.027124008629471064,0.00998383892313913
800,10000,4,0.026099936012178658,0.010236901187972554
800,10000,5,0.026299257180653512,0.010433896080774689
800,10000,6,0.02662823797436431,0.010582610709335801
800,10000,7,0.026859652495477348,0.010681027994853905
800,10000,8,0.02701797625049949,0.010745465088943416
800,10000,9,0.027116560866124927,0.010785927780068257
800,10000,10,0.027178954635746776,0.01081128002226069
800,10000,11,0.027217230410315096,0.010826937256045333
800,10000,12,0.02724097475875169,0.010836609737280657
800,10000,13,0.02725551788462326,0.010842556203087014
800,10000,14,0.027264491480309516,0.010846217561812997
800,10000,15,0.02726999536389485,0.010848467794962796
800,10000,16,0.02727338740369305,0.010849852947752614
800,10000,17,0.027275474928319453,0.010850706438528958
800,10000,18,0.027276762621477248,0.01085123260338435
800,10000,19,0.02727755531668663,0.010851556652075068
800,10000,20,0.027278047113213688,0.010851757654981392
800,10000,21,0.027278349606785924,0.010851881346227433
